Cases
574
567
559
111
75
41
40
32
31
30
30
27
23
22
22
20
19
19
18
16
15
14
14
14
13
12
11
9
9
8
8
8
8
7
7
6
6
6
6
6
5
5
4
4
4
4
4
4
4
4
4
4
4
4
4
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
