Name,Constituency,Party,Cases,Education,Assets,Liabilities
C.H.Vijayashankar,MYSORE,INC,0,Graduate,"4,64,34,790","35,00,000"
C.J. Aditya,BANGALORE CENTRAL,IND,0,12th Pass,"3,53,000",0
C.Kalanithi,TIRUVALLUR,Anti Corruption Dynamic Party,0,Graduate,"3,19,000","1,50,000"
C.O.T. Naseer,VADAKARA,IND,3,12th Pass,"71,346","2,20,554"
C.P. Divakar,MANDYA,Uttama Prajaakeeya Party,1,Graduate,"7,58,15,000","45,00,000"
C.Rosi,CHENNAI SOUTH,IND,0,12th Pass,"2,023",0
C.Saravanan,SIVAGANGA,IND,0,Post Graduate,"13,90,000",0
Chadipirala Adi Narayana Reddy,KADAPA,TDP,0,Post Graduate,"3,07,42,398","9,61,319"
Chadipiralla Siva Narayana Reddy,KADAPA,Navarang Congress Party,0,Others,"1,13,20,100","5,91,000"
Chakradhar Sahu,BERHAMPUR,IND,0,12th Pass,"1,00,71,000",0
Chakradhar Sahu,ASKA,IND,0,12th Pass,"1,00,71,000",0
Chakrapan5,MAINPURI,Jan Adesh Akshuni Sena,0,12th Pass,"43,91,000",0
Chalika Chandra Sekhar	,MALKAJGIRI,IND,0,Graduate,"42,70,000","7,02,000"
Challa Ram Kalyan,SECUNDERABAD,Bhartiya Anarakshit Party,0,Post Graduate,"1,26,78,418",0
Challa Vamshi Chand Reddy,MAHBUBNAGAR,INC,4,12th Pass,"1,57,59,063","17,22,846"
Challagali Kishore Kumar,BAPATLA,BJP,1,Graduate Professional,"31,85,877",0
Chamakura Rajaiah,MALKAJGIRI,Social Justice Party of India,1,Graduate,"3,05,000",0
Champaben Zaverbhai Chauhan,BHAVNAGAR,IND,0,Post Graduate,"37,71,365",0
Champalal Patel,MAHASAMUND,IND,0,Graduate,"20,79,441",0
Chandan Das,KARIMGANJ,AITC,0,12th Pass,"18,50,000",0
Chandan Singh,NAWADA,LJP,2,Graduate,"17,67,20,167","47,22,200"
Chandansinh,NAVSARI,IND,0,8th Pass,"9,29,313",0
"Chandirakumar, V.S.",TIRUPPUR,Makkal Needhi Maiam,0,10th Pass,"5,17,56,996","4,19,24,988"
Chandra Bhushan Kanwar,KORBA,Ambedkarite Party of India,0,Post Graduate,"35,600",0
Chandra Rajagopal,NELLORE,CPI(M),2,10th Pass,"23,53,200","2,40,000"
Chandra Sekhar Sahu,BERHAMPUR,BJD,0,10th Pass,"1,17,16,989",0
Chandrabhan Baliram Ramteke,RAMTEK,Rashtriya Jansurajya Party,0,12th Pass,"74,55,000","1,50,000"
Chandradeep Singh Korcho,SURGUJA,Rashtriya Jansabha Party,0,Graduate,"1,20,000",0
Chandradhwaj Majhi,NABARANGPUR,BSP,0,Graduate,"21,42,479",0
Chandrakant Parmeshwar Sawant,PUNE,IND,0,12th Pass,"58,86,000","43,91,625"
Chandramohan M,KALLAKURICHI,Vivasayigal Makkal Munnetra Katchi,0,Others,"10,35,000",0
Chandranathan S,CHENNAI CENTRAL,IND,0,Graduate,"69,289",0
Chandrani Murmu,KEONJHAR,BJD,0,Graduate Professional,"3,40,580",0
Chandrapal Hasmukh Bavjibhai,GANDHINAGAR,Peoples Party of India (Democratic),0,12th Pass,"49,94,296","2,70,000"
Chandrasekar P,CHIDAMBARAM,AIADMK,0,Post Graduate,"2,71,82,370","58,73,380"
Chandrasekaran V,KALLAKURICHI,IND,0,Graduate,"88,38,575","10,62,000"
Charagonda Krishnamma,NAGARKURNOOL,IND,0,12th Pass,"50,000",0
Charan Iswary,KOKRAJHAR,Purvanchal Janta Party (Secular),0,12th Pass,"5,65,596","25,000"
Charan Singh,NAGINA,IND,0,Post Graduate,"7,30,000",0
Charan Singh,ALIGARH,IND,0,12th Pass,"22,10,000",0
Charmta Bharatkumar Khemabhai,BANASKANTHA,IND,1,Post Graduate,"7,63,763","70,000"
Charulata Khajansing Tokas,WARDHA,INC,0,Graduate Professional,"13,61,23,032",0
Chattar Alias Chatrapal Singh Nishad,MATHURA,Bahujan Mukti Party,0,Not Given,"34,000",0
Chaudhari Jitubhai Harjibhai,VALSAD,INC,1,8th Pass,"66,11,455",0
Chaudhari Kirtibhai Jesangbhai,PATAN,NCP,0,Post Graduate,"37,08,786","3,00,000"
Chaudhari Sendhabhai Abherajbhai,MAHESANA,Bahujan Mukti Party,0,Post Graduate,"84,31,116",0
Chaudhari Shaileshkumar Kanjibhai,PATAN,IND,0,12th Pass,"19,60,000",0
Chaudhari Tusharbhai Amarsinhbhai	,BARDOLI,INC,0,Graduate Professional,"6,93,45,867",0
Chaudhary Basheer,FIROZABAD,IND,10,8th Pass,"2,75,48,145","16,54,024"
Chaudhary Mohkam,BAGHPAT,Pragatishil Samajwadi Party (Lohia),2,10th Pass,"66,000",0
Chauhan Ajaykumar Ramratansinh,BHAVNAGAR,IND,2,12th Pass,"36,46,057",0
Chauhan Dayabhai Bhagvanbhai,AMRELI,IND,0,Literate,"11,00,000","1,30,000"
Chauhan Devusinh,KHEDA,BJP,0,Others,"1,30,23,202","9,95,240"
Chauhan Dhiraj Kantilal,JAMNAGAR,IND,7,8th Pass,"8,83,500",0
Chauhan Harishbhai Jethabhai,AHMEDABAD WEST,Rashtriya Power Party,0,Graduate Professional,"32,93,451",0
Chauhan Kiritbhai,AHMEDABAD EAST,IND,0,10th Pass,"28,50,000",0
Chauhan Manojbhai,RAJKOT,IND,0,12th Pass,"4,59,000","3,18,000"
Chauhan Narendra Sinh Makhatul Sinh,AHMEDABAD EAST,Yuva Jan Jagriti Party,0,Graduate,"53,10,700","16,071"
Chauhan Nileshkumar Khushalbhai,NAVSARI,IND,1,Graduate Professional,"21,05,497","92,320"
Chauhan Parsottambhai,KHEDA,Yuva Jan Jagriti Party,0,10th Pass,"91,00,000","65,000"
Chauhan Prahladbhai,MAHESANA,BSP,0,12th Pass,"24,98,260",0
Chauhan Ravjibhai Mulabhai,AMRELI,BSP,0,Literate,"1,33,189",0
Chavada Ashok,JAMNAGAR,IND,0,8th Pass,"71,000",0
Chavada Shamjibhai,JAMNAGAR,IND,0,8th Pass,"16,66,000",0
Chavan Sampat Ramsing,BEED,IND,1,Post Graduate,"1,10,000","2,00,000"
Chavda Chatursinh Javanji,GANDHINAGAR,INC,0,Graduate Professional,"12,04,68,223","1,92,23,728"
Chavda Kaushikkumar,ANAND,IND,0,Post Graduate,"1,16,46,000","1,00,000"
Chavda Pravinbhai Chanabhai,KACHCHH,Hindusthan Nirman Dal,0,10th Pass,"14,20,000","7,50,547"
Chavda Vinod Lakhamshi,KACHCHH,BJP,0,Post Graduate,"3,35,08,455","1,24,58,607"
Chaya Rajashankar,TUMKUR,Uttama Prajaakeeya Party,0,Graduate,"3,79,39,797",0
Cheemala. Rangappa,CHITTOOR,INC,0,Graduate Professional,"1,28,32,000",0
Chelladurai,CUDDALORE,Tamil Nadu Ilangyar Katchi,0,Graduate,"1,75,000",0
Chellaperumal.,TIRUCHIRAPPALLI,IND,0,Post Graduate,"27,48,000",0
Chepuri Raju,CHEVELLA,Dalita Bahujana Party,0,5th Pass,"15,000",0
Chetak Kumar Yallappa Kamble,BELGAUM,IND,0,Graduate,"1,10,000",0
Chetan Chaman,BANGALORE SOUTH,IND,0,Graduate,"14,37,610",0
Chevuru Devakumar Reddy,NELLORE,INC,2,12th Pass,"7,38,19,429","39,48,741"
Chhabi Lal Kanwar,RAIPUR,Bhartiya Shakti Chetna Party,0,12th Pass,"83,54,152",0
Chhabilal Nial,KALAHANDI,Ambedkarite Party of India,0,Graduate Professional,"23,15,608","1,04,000"
Chhedi Ram,JHANJHARPUR,Bhartiya Mitra Party,0,Literate,"9,60,000",0
Chhote Lal Mahto,KISHANGANJ,IND,0,Literate,"7,65,000",0
Chhotubhai Vasava,BHARUCH,Bhartiya Tribal Party,6,10th Pass,"2,01,46,320","45,95,420"
Chidanand Harijan,UTTARA KANNADA,IND,0,Literate,"14,65,000","2,70,000"
Chikhalikar Pratap Govindrao,NANDED,BJP,0,12th Pass,"5,21,78,606","5,94,000"
Chiluveru Prathap,WARANGAL,IND,0,10th Pass,0,0
China Nageswara Rao Sadhu,BAPATLA,Mundadugu Praja Party,0,Post Graduate,"12,59,090","1,96,000"
Chincholikar Jayant Eknath,PUNE,Bahujan Republican Socialist Party,1,10th Pass,"74,019",0
Chinnaiah Mukkera,NIZAMABAD,IND,0,10th Pass,"43,22,700","9,50,000"
Chinnam Rama Kotayya,ELURU,BJP,0,10th Pass,"10,09,61,778","77,13,964"
Chinni Venkateswarlu,NELLORE,Pyramid Party of India,0,Literate,"12,80,000",0
Chinraj A.K.P,NAMAKKAL,DMK,0,Graduate,"48,52,05,173","1,86,42,484"
Chinta Anuradha,AMALAPURAM,YSRCP,0,Graduate,"8,59,93,362","24,31,407"
Chinta Mohan,TIRUPATI,INC,0,Graduate Professional,"2,28,08,300","20,07,093"
Chintala Partha Sarathi,ANAKAPALLE,Janasena Party,0,Post Graduate,"33,53,08,506","11,09,28,567"
Chintalapelly Gangareddy,NIZAMABAD,IND,0,10th Pass,"12,60,000","1,00,000"
Chintha Anil Kumar,KARIMNAGAR,Pyramid Party of India,0,Post Graduate,"25,000",0
Chintha Sambamurthy,WARANGAL,BJP,0,12th Pass,"25,03,100","6,60,000"
Chinthalapally Raghupathi Reddy,NIZAMABAD,IND,0,10th Pass,"36,85,000","1,50,000"
Chirag Kumar Paswan,JAMUI,LJP,1,Graduate Professional,"1,84,66,066",0
Chitra P,ERODE,IND,0,Graduate,"1,24,73,344","7,17,500"
Chitra R,CUDDALORE,Naam Tamilar Katchi,0,Graduate,"6,40,737",0
Chitralekha Das,BARPETA,SUCI(C),0,Doctorate,"22,70,544",0
Chitroda Nathalal,RAJKOT,IND,0,Graduate Professional,"1,10,53,000","9,22,957"
Chitta Ranjan Debbarma,TRIPURA EAST,IND,0,Post Graduate,"1,53,20,763",0
Chittayam Gopakumar,MAVELIKKARA,CPI,0,10th Pass,"37,25,488","9,53,336"
Cho V,NAMAKKAL,IND,0,Graduate,"59,000",0
Choudhary Mahbub Ali Kaisar,KHAGARIA,LJP,1,Graduate,"10,97,88,313",0
"Christantine Rajasekar, S.",THOOTHUKKUDI,Naam Tamilar Katchi,1,12th Pass,"3,29,36,394","50,00,000"
Christopher Gahatraj,DARJEELING,Indian Democratic Republican Front,0,Graduate,"3,000",0
Christopher Shaju,THIRUVANANTHAPURAM,IND,0,12th Pass,"18,25,000","3,30,000"
Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP,1,12th Pass,"1,08,66,041","14,81,768"
Chunni Lal Sahu,MAHASAMUND,BJP,0,Graduate,"1,75,91,683","13,83,014"
Churka Murmu,RAIGANJ,BSP,0,12th Pass,"1,73,07,942",0
Comrade B.Basavalingappa,KOPPAL,Marxist Leninist Party of India (Red Flag),0,12th Pass,"40,55,000","7,94,764"
Comrade Vijaykumar,UDUPI CHIKMAGALUR,CPI(ML) Red Star,0,10th Pass,"5,29,000",0
Comrade Yogesh Krishnarao Thakare,NAGPUR,CPI(ML) Red Star,0,12th Pass,"35,06,000",0
Cosme Francisco Caitano Sardinha,SOUTH GOA,INC,0,Graduate Professional,"7,94,02,232",0
D C Jayashankara,MANDYA,Aihra National Party,0,Others,"81,18,000","10,00,000"
D M Madegowda,BANGALORE RURAL,Republican Sena,0,10th Pass,"8,49,106","4,89,650"
D Pennappa Turuvanur,CHITRADURGA,IND,0,Graduate,"5,30,000",0
D Sharadhishayana,TUMKUR,IND,0,Graduate Professional,"16,00,000",0
D Thimmappa	,MAHBUBNAGAR,IND,0,Illiterate,"4,80,000","4,00,000"
D. D. Wani [Photographer],RAVER,IND,0,10th Pass,"5,69,000","25,000"
D. Doss,ARAKKONAM,BSP,0,10th Pass,"1,30,000",0
D. K. Aruna,MAHBUBNAGAR,BJP,2,10th Pass,"78,83,98,644","5,16,70,191"
D. K. Konkate Keroor,GULBARGA,Rashtriya Samaj Paksha,0,Graduate,"11,78,000","1,25,000"
D. Kathir Vel,VELLORE,IND,0,10th Pass,"13,60,000",0
D. Mahammad Rafi,NANDYAL,B. C. United Front,0,10th Pass,"50,000","1,90,000"
D. P. Jamal Basha,NANDYAL,Anna YSR Congress Party,0,10th Pass,"4,50,000","70,000"
D. Sankar,CUDDALORE,IND,0,Graduate,"2,42,500",0
D. Senthamarai Kannan,CUDDALORE,IND,0,10th Pass,"75,44,600","29,50,000"
D.A. Sathya Prabha,RAJAMPET,TDP,0,12th Pass,"2,20,48,33,211","59,32,75,186"
D.Anandaraj,TIRUVALLUR,IND,0,12th Pass,"1,70,55,961","17,00,000"
D.Hariharan,CHENNAI SOUTH,IND,0,Others,"7,44,82,760","1,60,00,000"
D.K. Suresh,BANGALORE RURAL,INC,5,12th Pass,"3,38,89,20,717","51,93,20,305"
D.Karthick,CHENNAI SOUTH,IND,0,Graduate Professional,"5,79,500",0
D.M. Kathir Anand,VELLORE,DMK,2,Post Graduate,"58,25,55,297","34,77,726"
D.Palya Khadar Subhan Khan,CHIKKBALLAPUR,Samajwadi Janata Party(Karnataka),0,10th Pass,"64,50,000",0
D.R. Patil,HAVERI,INC,0,Graduate Professional,"5,34,24,424","25,74,740"
D.Ravi Pariyanar,TIRUVALLUR,RPI(A),0,10th Pass,"1,45,000",0
D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,"20,93,84,539","10,43,02,653"
Dabba Raja Reddy,NIZAMABAD,IND,0,Literate,"51,20,000","1,00,000"
Dabhi Bharatsinhji Shankarji,PATAN,BJP,0,Graduate,"4,73,73,221","56,13,860"
Dadasab Siddappa Bagayat,BIJAPUR,IND,0,12th Pass,"1,77,76,767","8,50,000"
Daggubati Purandeswari,VISAKHAPATNAM,BJP,0,Graduate,"32,40,38,450","3,49,49,036"
Dalvadi Nakum Rasik Lalji,JAMNAGAR,IND,0,10th Pass,"69,98,443","36,05,798"
Damodara Sabar,KORAPUT,CPI(ML)(L),0,8th Pass,"15,000",0
Damor Manabhai Bhavsing,DAHOD,IND,0,Others,"6,75,000","1,50,000"
Dandu Seshu Yadav,KURNOOL,SP,0,Graduate Professional,"19,50,000",0
Daniya Anirudhbhai Gandabhai,SURENDRANAGAR,IND,0,8th Pass,"15,27,000",0
Danve Raosaheb Dadarao,JALNA,BJP,2,Graduate,"22,95,57,992","24,00,000"
Dasaprakash K,KARUR,IND,0,Graduate Professional,"1,95,000",0
Dasari Kiran Babu,GUNTUR,IND,0,8th Pass,"59,80,980","26,45,782"
Dasari Krishna Murthy,NARSAPURAM,India Praja Bandhu Party,0,10th Pass,"7,03,000","1,53,000"
Dashrath Nana Raut,BARAMATI,Bharatiya Praja Surajya Paksha,0,8th Pass,"8,15,000",0
Dashrath Pandurang Madavi,CHANDRAPUR,Bahujan Republican Socialist Party,0,Graduate,"94,03,318","17,90,000"
Dasrath Tirkey,ALIPURDUARS,AITC,0,Graduate,"90,39,609","5,81,713"
Dattatray Pandit Patil,SANGLI,IND,0,5th Pass,"37,71,000","10,000"
Dattatraya Appa Waghmode,AHMEDNAGAR,IND,0,5th Pass,"53,19,100","1,80,000"
Dattatraya Vittal Padgaonkar,NORTH GOA,AAP,0,Graduate,"1,98,19,040",0
Dattatrya Bhanudas Khatke Alias Bandunana Khatke,MADHA,IND,0,10th Pass,"13,19,608",0
Dattu Prabhakar Karanjikar,LATUR,Bahujan Mukti Party,0,12th Pass,"37,85,000",0
Daulat Kunwar,TEHRI GARHWAL,IND,0,10th Pass,"47,57,609","22,00,000"
Daulat Umaji Shitole,MADHA,IND,0,Literate,"6,25,12,874","11,29,81,121"
Dauram Satnami,JANJGIR CHAMPA,BSP,0,Post Graduate,"1,85,96,521","19,70,757"
Davender,BAGHPAT,Aapki Apni Party (Peoples),0,10th Pass,"12,64,900","5,50,000"
David Annadurai K,MADURAI,IND,3,Graduate Professional,"2,87,87,054","3,30,000"
Dayakar Pasnori,WARANGAL,TRS,0,Graduate,"2,48,89,712","14,28,227"
Dayala Subhashbhai Parbatbhai,AMRELI,IND,0,8th Pass,"5,40,971",0
Dayanand,BIDAR,Ambedkarite Party of India,0,10th Pass,"17,000","75,000"
Dayanand Maruti Kamble,KOLHAPUR,Bahujan Republican Socialist Party,0,12th Pass,"4,70,836","12,35,700"
Dayanand Rajwanshi,GAYA,Moolniwasi Samaj Party,0,Post Graduate,"4,14,000",0
Dayananda Bhitria,SUNDARGARH,Hindusthan Nirman Dal,0,10th Pass,"3,70,000","50,000"
Dayanidhi Maran,CHENNAI CENTRAL,DMK,1,Graduate,"11,67,90,616",0
Dayaram,GAUTAM BUDDHA NAGAR,Aapki Apni Party (Peoples),0,10th Pass,"1,06,300","21,400"
Dayat Manoj Ranchod,DADRA AND NAGAR HAVELI,IND,0,12th Pass,"1,68,959","84,060"
Dean Kuriakose,IDUKKI,INC,204,Post Graduate,"1,33,95,011","1,00,00,000"
Debasree Chaudhuri,RAIGANJ,BJP,2,Post Graduate,"61,39,123","8,23,416"
Deep Narayan Mandal,SUPAUL,SHS,0,Graduate,"60,64,918",0
Deepa Dasmunsi,RAIGANJ,INC,4,Post Graduate,"1,56,15,375",0
Deepak Chaudhary,ALIGARH,Pragatishil Samajwadi Party (Lohia),1,Graduate,"3,17,18,690",0
Deepak Kumar,BHAGALPUR,SUCI(C),0,Others,"29,33,495",0
Deepak Kumar Baij,BASTAR,INC,1,Post Graduate,"77,21,293","18,01,236"
Deepak Kumar Sahu,KORBA,IND,0,Post Graduate,"1,56,68,237",0
Deepak Mahadev Tate,OSMANABAD,Bhapase Party,0,10th Pass,"12,78,500",0
Deepak Rajesh Coelho,DAKSHINA KANNADA,IND,0,12th Pass,"44,15,000",0
Deepak Shantaram Watvisave,BARAMATI,IND,0,Doctorate,"5,14,84,500","26,90,000"
Deepan. M,TENKASI,IND,0,Graduate,"54,70,000","7,84,646"
Dek Bahadur Katwal,SIKKIM,SDF,0,Graduate Professional,"27,89,212","4,36,959"
Dekavadiya Darjibhai Maganbhai,SURENDRANAGAR,Hindusthan Nirman Dal,0,10th Pass,"1,67,67,782","23,94,129"
Delkar Mohanbhai Sanjibhai,DADRA AND NAGAR HAVELI,IND,0,Graduate,"70,88,85,980","3,72,68,162"
Dengada Pravinbhai,RAJKOT,IND,9,Illiterate,"13,82,000",0
Deorao Monba Nannaware,GADCHIROLI CHIMUR,Ambedkarite Party of India,0,Graduate Professional,"48,92,338","5,50,000"
Desai Ishvarbhai,BANASKANTHA,IND,0,Literate,"12,53,500","6,00,000"
Desingu A,VILUPPURAM,IND,0,10th Pass,"45,694",0
Deva Sitham. I,RAMANATHAPURAM,IND,2,Graduate Professional,"2,22,839","1,82,660"
Devadathan,THIRUVANANTHAPURAM,IND,0,10th Pass,"75,000",0
Devadathan,ATTINGAL,IND,0,10th Pass,"75,000",0
Devadha Samsubhai Khatarabhai,DAHOD,IND,0,Graduate Professional,0,0
Devados. P,MAYILADUTHURAI,IND,0,8th Pass,"22,000","20,000"
Devaki Vasudeva Rao,KHAMMAM,BJP,0,Others,"2,63,00,049","46,86,270"
Devanna Pindi,NIZAMABAD,IND,0,Illiterate,"6,42,000",0
Devappa.Y,KRISHNAGIRI,IND,0,10th Pass,"36,00,000",0
Devarajan C,KANCHEEPURAM,IND,0,10th Pass,"2,50,000",0
Devarapogu Maddilety,KURNOOL,IND,1,10th Pass,"5,23,616",0
Devda Dasharath Misarilal,AHMEDABAD EAST,IND,1,5th Pass,"65,000",0
Deven Govindbhai Vanvi,JUNAGADH,BSP,0,12th Pass,"5,03,683",0
Devendar Singh Thakur (Rajput),MAHASAMUND,IND,1,12th Pass,"37,75,400",0
Devendra Kumar Patil,RAIPUR,SUCI(C),0,Graduate,"24,000",0
Devendra Prasad Yadav,JHANJHARPUR,Samajwadi Janata Dal Democratic,0,Graduate,"1,14,23,806",0
Devendrappa,CHITRADURGA,Uttama Prajaakeeya Party,0,10th Pass,"15,76,000",0
Devidas Santuji Lanjewar,BHANDARA GONDIYA,IND,0,Graduate,"47,80,376",0
Devji Gangaram Asole,HINGOLI,IND,0,5th Pass,"1,28,000",0
Devki Dubey,RAIPUR,RPI(A),0,10th Pass,"34,50,000","10,00,000"
Dhairyashil Sambhajirao Mane,HATKANANGLE,SHS,0,Graduate,"4,77,71,462","4,15,99,959"
Dhameliya Piyushkumar Vallabhabhai,SURAT,Real Democracy Party,0,10th Pass,"2,67,73,999","1,32,74,706"
Dhanalakoti Ramana,VIZIANAGARAM,IND,0,Post Graduate,"8,60,000",0
Dhanamatnalli Venkateshappa,KOLAR,RPI(A),0,12th Pass,"48,20,000",0
Dhananjay Mahadik,KOLHAPUR,NCP,4,Graduate,"66,31,40,000","13,54,55,000"
Dhananjay Rajaram Patil,BELGAUM,IND,0,12th Pass,"67,30,605","35,20,000"
Dhananjoy Banerjee,JANGIPUR,Purvanchal Janta Party (Secular),0,Post Graduate,"20,20,792",0
Dhananjoy Barman,COOCH BEHAR,Welfare Party Of India,0,Post Graduate,"2,10,000",0
Dhananjoy Sarkar,MURSHIDABAD,Bahujan Mukti Party,0,Graduate,"6,15,796",0
Dhanendra Sahu,MAHASAMUND,INC,0,12th Pass,"9,21,23,717","1,06,791"
Dhanorkar Suresh Narayan,CHANDRAPUR,INC,5,12th Pass,"13,74,55,342","2,27,52,880"
Dhanraj Kotiram Vanjari,WARDHA,Vanchit Bahujan Aaghadi,1,Post Graduate,"9,76,29,000",0
Dhansing Kosariya,MAHASAMUND,BSP,2,12th Pass,"6,76,500","1,60,000"
Dhanush M Kumar,TENKASI,DMK,1,Post Graduate,"5,13,60,700","28,96,862"
Dhanuskodi P,TENKASI,IND,0,Graduate Professional,"1,57,000","1,05,140"
Dhapa Dharamshibhai Ramjibhai,BHAVNAGAR,Vyavastha Parivartan Party,2,10th Pass,"30,60,000","1,77,000"
Dhapa Dharamshibhai Ramjibhai,AMRELI,Vyavastha Parivartan Party,2,10th Pass,"30,60,000","1,77,000"
Dharavth Narendhar,ADILABAD,Janasena Party,0,Post Graduate,"50,000",0
Dhareppa Mahadev Ardhavar,BIJAPUR,IND,0,Graduate Professional,"32,26,500","6,75,000"
Dharmalingam S,ERODE,IND,0,5th Pass,"38,17,600",0
Dharmapuri Arvind,NIZAMABAD,BJP,1,Post Graduate,"87,69,30,468","33,75,80,746"
Dharmar P,MADURAI,IND,0,10th Pass,"42,024",0
Dharmasanam Bhanumurthy,MALKAJGIRI,Praja Satta Party,2,10th Pass,"52,59,500","6,00,000"
Dharmendra,HARIDWAR,IND,0,Post Graduate,"2,08,000",0
Dharmendra,MEERUT,BHARTIYA JANTA DAL,0,Graduate Professional,"9,72,498",0
Dharmendra,AONLA,SHS,0,Post Graduate,"7,63,881",0
Dharmendra Kumar,AONLA,BJP,0,10th Pass,"2,17,66,502","33,24,300"
Dharmendra Vajubhai Makwana,JUNAGADH,IND,0,Post Graduate,"2,95,000",0
Dharmendra Yadav,BADAUN,SP,3,Post Graduate,"11,86,88,322","2,65,10,293"
Dhavamani A,MADURAI,BSP,0,5th Pass,"27,000",0
Dhiraj Kumar Rai,SIKKIM,Sikkim Republican Party,0,Post Graduate,"2,48,000",0
Dhiraj Motilal Batade,AHMEDNAGAR,Right to Recall Party,0,12th Pass,"22,000",0
Dhirendra Choudhary,KHAGARIA,Aam Adhikar Morcha,0,8th Pass,"15,19,500",0
Dhirendra Kumar Singh,AURANGABAD,IND,0,Graduate,"83,89,250",0
Dhirubhai Babulal Shrimali,KACHCHH,New All India Congress Party,0,10th Pass,"37,500",0
Digbijay Mandal,DARJEELING,IND,0,10th Pass,"25,42,668","37,618"
Dikshita Anand Tembhurne,NAGPUR,Desh Janhit Party,0,Graduate,"98,884",0
Dileep Kilaru,VIJAYAWADA,BJP,0,Graduate Professional,"1,36,90,17,847","42,62,122"
Dileep Sharma,ALIGARH,Peace Party,0,Graduate Professional,"4,61,000",0
Dilendrr Pal Singh,GARHWAL,Uttarakhand Kranti Dal (Democratic),0,Others,"8,35,000",0
Dileram,MORADABAD,Bhartiya Harit Party,0,12th Pass,"1,09,64,441","5,84,000"
Dileshwar Kamait,SUPAUL,JD(U),2,Graduate,"2,34,41,606",0
Dilip Kumar,GAYA,BSP,0,Graduate,"18,22,000","1,66,454"
Dilip Moran,LAKHIMPUR,Assam Dristi Party,0,12th Pass,"2,96,22,141","15,91,682"
Dilip Ramchandra Jadhav,MADHA,IND,0,10th Pass,"12,24,000","3,20,000"
Dilip Shreerang Jagtap,SATARA,Bahujan Republican Socialist Party,0,Graduate Professional,"13,05,600","2,83,500"
Dilshaad Sikandar Tahashildar,BELGAUM,RPI(A),0,Literate,"95,000",0
Din Dayal Bharti,GAYA,NCP,0,12th Pass,"34,40,000",0
Dinakaran G,CHENNAI CENTRAL,IND,0,Post Graduate,"70,000",0
Dinesh Chandra Yadav,MADHEPURA,JD(U),1,Graduate Professional,"3,74,20,953","7,00,000"
Dinesh Kumar,AONLA,Hindusthan Nirman Dal,0,12th Pass,"43,20,000",0
Dinesh Kumar Gautam,MATHURA,Bhartiya Anarakshit Party,0,Post Graduate,"3,67,42,543",0
Dinesh Nag,BOLANGIR,Ambedkarite Party of India,0,Graduate Professional,"18,19,971","10,50,000"
Dinesh Prasad Yadav,SUPAUL,IND,3,Graduate Professional,"73,70,423","50,000"
Dinesh Sai,HATHRAS,IND,0,Graduate,"5,64,824",0
Dineshbhai Chaturbhai Jikadara,SURAT,IND,0,10th Pass,"75,79,266","5,00,000"
Dineshbhai Gulabbhai Chaudhari,BARDOLI,BSP,0,Post Graduate,"95,000",0
"Dineshkumar, M.",DINDIGUL,IND,0,Post Graduate,"3,25,000",0
Dinkar Tukaram Sambare,BULDHANA,IND,0,10th Pass,"3,19,62,000",0
Dipak Kumar Roy,DARJEELING,Kamatapur Peoples Party (United),0,10th Pass,"56,29,000","30,000"
Dipak Laxmanrao Maske,NAGPUR,IND,0,12th Pass,"45,59,259","16,191"
Dipakbhai Ramnikbhai Gangani,SURAT,IND,0,12th Pass,"59,33,453","38,70,000"
Dipali Lalaji Misal,AURANGABAD,Bahujan Mukti Party,0,Post Graduate,"2,60,000","11,80,000"
Dipika Jitendrakumar Sutaria,AHMEDABAD WEST,Manvadhikar National Party,0,12th Pass,"2,55,70,000",0
Dipti Halam,TRIPURA EAST,IND,0,8th Pass,"10,40,000","1,00,000"
Divakaran.C,THIRUVANANTHAPURAM,CPI,1,Graduate,"90,06,945","13,18,000"
Divya Yog Maya Saraswati,GHAZIABAD,Rashtriya Bharatiya Jan Jan Party,2,Illiterate,"6,50,000",0
Dnv Senthilkumar.S,DHARMAPURI,DMK,1,Post Graduate,"4,84,77,451","60,53,502"
Dnyaneshwar Kashirao Mankar,AMRAVATI,IND,0,10th Pass,"7,01,417",0
Dnyaneshwar Laxamnrao Wakudkar,WARDHA,Lokjagar Party,2,Post Graduate,"1,75,97,448","1,50,000"
Doctor Daggumati Sreehari Rao,TIRUPATI,BSP,0,Graduate Professional,"60,45,000","52,79,699"
Doda Mutta Reddy,NIZAMABAD,IND,0,5th Pass,"17,00,000","2,00,000"
Dola Jagan Mohana Rao,SRIKAKULAM,INC,0,Post Graduate,"1,23,90,000","38,46,000"
Dolly Sharma,GHAZIABAD,INC,0,Post Graduate,"2,10,01,366",0
Donam Neelakantam,KAKINADA,All India Praja Party,0,Post Graduate,"14,77,500","6,40,000"
Dondiba Ramu Rathod,BIJAPUR,IND,0,5th Pass,"78,70,917","76,000"
Donga Jayantilal Arjanbhai,JAMNAGAR,IND,0,10th Pass,"1,25,16,500","17,00,000"
Dongarkar Ishwarbhai Gopjibhai,DADRA AND NAGAR HAVELI,BSP,0,Literate,"84,000",0
Donthula Bikshapathi,MALKAJGIRI,IND,0,Graduate,"1,86,10,000",0
Doppalapudi Veera Das,GUNTUR,IND,0,Graduate,"59,90,000","8,80,000"
